date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-09-19,21.200000000000003,16.1,26.1,4.2,0.0,214.0,18.950000000000003,,1014.85,
2016-09-26,16.614285714285714,14.285714285714286,19.342857142857145,11.014285714285714,0.0,199.57142857142858,16.7,,1016.0,
2016-10-03,17.5,12.385714285714286,22.457142857142856,3.1571428571428575,0.0,182.0,12.357142857142858,,1020.3714285714286,
2016-10-10,17.17142857142857,12.299999999999999,21.728571428571428,3.1571428571428575,0.0,208.14285714285714,16.585714285714285,,1016.4142857142857,
2016-10-17,13.857142857142858,8.071428571428571,18.428571428571427,0.0,0.0,237.5,15.842857142857143,,1017.5142857142857,
2016-10-24,11.799999999999999,7.714285714285714,15.171428571428569,4.457142857142857,0.0,167.14285714285714,15.442857142857141,,1020.6428571428571,
2016-10-31,15.214285714285714,10.799999999999999,20.157142857142855,2.0,0.0,164.6,9.514285714285714,,1023.0571428571428,
2016-11-07,10.028571428571428,5.785714285714286,14.685714285714285,0.04285714285714286,0.0,213.14285714285714,16.657142857142855,,1022.2142857142857,
2016-11-14,7.371428571428572,1.8142857142857145,11.971428571428572,0.39999999999999997,0.0,264.8333333333333,16.02857142857143,,1017.0428571428572,
2016-11-21,4.8999999999999995,2.0,7.714285714285714,5.371428571428572,0.0,211.16666666666666,15.571428571428571,,1018.8000000000001,
2016-11-28,3.514285714285714,1.8285714285714287,5.485714285714286,1.8571428571428572,25.428571428571427,236.66666666666666,15.114285714285714,,1014.2142857142857,
2016-12-05,-3.442857142857143,-5.957142857142857,-0.7142857142857142,1.7142857142857142,50.714285714285715,246.57142857142858,17.842857142857145,,1022.8142857142857,
2016-12-12,-10.757142857142856,-15.485714285714286,-6.514285714285714,0.7000000000000001,116.28571428571429,242.0,16.842857142857145,,1025.742857142857,
2016-12-19,1.157142857142857,-2.6999999999999997,4.371428571428572,1.3428571428571427,65.28571428571429,203.83333333333334,17.52857142857143,,1022.3714285714286,
2016-12-26,0.7142857142857143,-3.1,3.9714285714285715,0.8714285714285713,0.0,211.42857142857142,17.885714285714286,,1015.657142857143,
2017-01-02,-8.542857142857143,-12.857142857142858,-4.8999999999999995,0.14285714285714285,0.0,268.85714285714283,18.085714285714285,,1025.0285714285715,
2017-01-09,-0.49999999999999994,-3.9857142857142853,3.3285714285714287,5.157142857142857,0.0,196.83333333333334,16.414285714285715,,1023.4,
2017-01-16,4.442857142857143,2.3000000000000003,7.142857142857143,5.3999999999999995,0.0,198.33333333333334,13.62857142857143,,1009.0428571428572,
2017-01-23,-0.45714285714285713,-2.3714285714285714,1.9142857142857144,0.39999999999999997,0.0,274.2857142857143,18.785714285714285,,1009.8857142857142,
2017-01-30,-0.7714285714285714,-5.0,3.3285714285714287,0.07142857142857142,0.0,250.28571428571428,18.52857142857143,,1020.3571428571429,
2017-02-06,1.542857142857143,-3.2714285714285714,6.185714285714285,2.0,0.0,233.57142857142858,19.457142857142856,,1015.7285714285715,
2017-02-13,8.028571428571428,2.3714285714285714,14.200000000000001,0.0,0.0,213.0,14.514285714285714,,1011.6142857142858,
2017-02-20,7.057142857142857,2.557142857142857,11.728571428571428,1.5714285714285714,0.0,206.0,17.95714285714286,,1010.8142857142857,
2017-02-27,5.371428571428572,1.342857142857143,9.928571428571429,6.642857142857143,0.0,226.57142857142858,21.442857142857143,,1019.9285714285714,
2017-03-06,1.7,-1.514285714285714,5.314285714285715,1.6142857142857143,7.285714285714286,155.83333333333334,21.2,,1023.9,
2017-03-13,2.3000000000000003,-1.9857142857142855,6.514285714285713,3.3428571428571425,29.0,248.83333333333334,16.785714285714285,,1023.6714285714286,
2017-03-20,7.571428571428571,3.257142857142857,12.87142857142857,4.357142857142857,0.0,108.16666666666667,18.7,,1020.0714285714286,
2017-03-27,7.114285714285714,3.6714285714285713,10.071428571428571,9.971428571428572,0.0,46.42857142857143,17.771428571428572,,1014.6857142857143,
2017-04-03,11.1,5.957142857142857,16.5,8.671428571428573,0.0,236.71428571428572,23.400000000000002,,1010.6285714285714,
2017-04-10,13.971428571428572,8.971428571428572,19.385714285714283,2.9285714285714284,0.0,154.5,15.771428571428572,,1020.7714285714285,
2017-04-17,13.671428571428573,6.757142857142857,19.75714285714286,0.39999999999999997,0.0,148.83333333333334,16.5,,1017.1,
2017-04-24,12.571428571428571,8.742857142857142,16.742857142857144,15.642857142857142,0.0,139.33333333333334,21.714285714285715,,1005.9571428571428,
2017-05-01,8.971428571428572,5.242857142857142,12.928571428571429,0.5428571428571428,0.0,119.57142857142857,19.642857142857142,,1014.2714285714285,
2017-05-08,15.085714285714285,9.285714285714286,21.585714285714285,4.728571428571428,0.0,64.2,12.385714285714286,,1013.2428571428571,
2017-05-15,18.12857142857143,12.12857142857143,23.02857142857143,4.6,0.0,174.0,24.657142857142855,,1011.8285714285714,
2017-05-22,17.014285714285712,13.242857142857144,21.67142857142857,4.757142857142857,0.0,194.16666666666666,14.5,,1006.9857142857143,
2017-05-29,21.557142857142857,15.142857142857142,27.214285714285715,0.0,0.0,184.16666666666666,13.885714285714286,,1013.5,
2017-06-05,23.914285714285715,17.857142857142858,30.071428571428573,0.2571428571428572,0.0,151.33333333333334,19.24285714285714,,1012.8428571428573,
2017-06-12,24.75714285714286,20.314285714285713,30.085714285714285,1.9285714285714286,0.0,206.14285714285714,15.785714285714286,,1007.9285714285714,
2017-06-19,21.2,16.271428571428572,26.114285714285717,3.7285714285714286,0.0,238.14285714285714,18.142857142857142,,1012.8285714285714,
