service_date,day_type,bus,rail_boardings,total_rides
03/14/2017,W,712423,727042,1439465
03/15/2017,W,822423,748703,1571126
03/16/2017,W,827779,758060,1585839
03/17/2017,W,804320,732007,1536327
03/18/2017,A,473609,404779,878388
03/19/2017,U,371042,304418,675460
03/20/2017,W,802404,690624,1493028
03/21/2017,W,835641,718304,1553945
03/22/2017,W,816876,706282,1523158
03/23/2017,W,802941,708026,1510967
03/24/2017,W,821828,715787,1537615
03/25/2017,A,414644,356083,770727
03/26/2017,U,340733,292995,633728
03/27/2017,W,825472,724012,1549484
03/28/2017,W,846658,748201,1594859
03/29/2017,W,837430,745915,1583345
03/30/2017,W,756598,718864,1475462
03/31/2017,W,839312,737168,1576480
04/01/2017,A,517493,433603,951096
04/02/2017,U,357643,319046,676689
04/03/2017,W,840610,743301,1583911
04/04/2017,W,873844,763221,1637065
04/05/2017,W,755345,732462,1487807
04/06/2017,W,822266,771468,1593734
04/07/2017,W,765361,741568,1506929
04/08/2017,A,508239,452426,960665
04/09/2017,U,388435,336277,724712
04/10/2017,W,695555,708408,1403963
04/11/2017,W,736309,720080,1456389
04/12/2017,W,754940,757854,1512794
04/13/2017,W,723724,745720,1469444
04/14/2017,W,692506,676016,1368522
04/15/2017,A,506929,453975,960904
04/16/2017,U,339738,293545,633283
04/17/2017,W,809433,738426,1547859
04/18/2017,W,848195,772115,1620310
04/19/2017,W,811178,757251,1568429
04/20/2017,W,797055,758119,1555174
04/21/2017,W,819393,753932,1573325
04/22/2017,A,493687,467485,961172
04/23/2017,U,373492,330832,704324
04/24/2017,W,830257,736639,1566896
04/25/2017,W,860569,761180,1621749
04/26/2017,W,838762,757859,1596621
04/27/2017,W,807318,748983,1556301
04/28/2017,W,830500,740579,1571079
04/29/2017,A,405068,364346,769414
04/30/2017,U,307608,269345,576953
05/01/2017,W,847371,747837,1595208
05/02/2017,W,846717,762139,1608856
05/03/2017,W,890581,778089,1668670
05/04/2017,W,836436,770199,1606635
05/05/2017,W,840819,771492,1612311
05/06/2017,A,502922,460695,963617
05/07/2017,U,370985,334930,705915
05/08/2017,W,829268,722987,1552255
05/09/2017,W,827183,738712,1565895
05/10/2017,W,821006,736258,1557264
05/11/2017,W,832163,755558,1587721
05/12/2017,W,824305,745485,1569790
05/13/2017,A,504045,427964,932009
05/14/2017,U,364734,313469,678203
05/15/2017,W,805190,709882,1515072
05/16/2017,W,843103,768941,1612044
05/17/2017,W,835226,763055,1598281
05/18/2017,W,824327,775776,1600103
05/19/2017,W,768158,726694,1494852
05/20/2017,A,441093,396705,837798
05/21/2017,U,366609,350024,716633
05/22/2017,W,817334,744257,1561591
05/23/2017,W,799986,753184,1553170
05/24/2017,W,820511,762453,1582964
05/25/2017,W,829938,776776,1606714
05/26/2017,W,779960,691687,1471647
05/27/2017,A,492255,462129,954384
05/28/2017,U,366179,344784,710963
05/29/2017,U,375171,336441,711612
05/30/2017,W,802596,722529,1525125
05/31/2017,W,827890,745189,1573079
06/01/2017,W,860327,771134,1631461
06/02/2017,W,861203,796256,1657459
06/03/2017,A,523471,495282,1018753
06/04/2017,U,400326,384010,784336
06/05/2017,W,838839,768461,1607300
06/06/2017,W,845564,787009,1632573
06/07/2017,W,846730,793617,1640347
06/08/2017,W,821372,805398,1626770
06/09/2017,W,833135,822483,1655618
06/10/2017,A,525084,558726,1083810
06/11/2017,U,406991,440096,847087
06/12/2017,W,808630,753763,1562393
